, ,RandomForestRegressor(),ExtraTreesRegressor(),BaggingRegressor(),GradientBoostingRegressor(),AdaBoostRegressor(),GaussianProcessRegressor(),ARDRegression(),HuberRegressor(),LinearRegression(),PassiveAggressiveRegressor(),SGDRegressor(),TheilSenRegressor(max_subpopulation=10000),KNeighborsRegressor(),RadiusNeighborsRegressor(),MLPRegressor(),DecisionTreeRegressor(),ExtraTreeRegressor(),SVR(),BayesianRidge(),CCA(),ElasticNet(),ElasticNetCV(),KernelRidge(),Lars(),LarsCV(),Lasso(),LassoCV(),LassoLars(),LassoLarsIC(),NuSVR(),OrthogonalMatchingPursuit(),OrthogonalMatchingPursuitCV(),PLSCanonical(),Ridge(),RidgeCV(),LinearSVR()
0,BaggingClassifier(),0.9291203453036253,0.9595079038801866,0.8720506897670389,0.9620978838991121,1.2297111723425282,95.55081891306386,3.727048862900952,8.838295883366106,2.362379019213546,15.615849251891886,5.812116041462653e+18,10.509054125212744,2.2018488058175465,7.215813355254752e+16,10497.02821240679,0.9382376616344283,1.0854223278843678,4.219981634937812,2.3410365032388354,2.51154779,2.6952899199222937,2.8318336514815314,9.924845222396431,2.504342232006432,2.5389923452270637,2.7003551965288954,2.8318154000417017,4.272960112870507,2.489440379352988,2.7877031995036914,2.979558828682553,2.8729893441921392,3.24174841,2.3517634232617586,2.349572381145011,17.88256158512127
1,DecisionTreeClassifier(),1.0678114954667062,1.093592345830615,1.0547881434970967,1.1078442008498228,1.3524335994704861,95.55494649306581,3.8777769568231855,6.275674535977638,2.4715099017129245,14.001884800071162,4.770351058454091e+18,10.112415521639672,2.3181718106100724,7.215813355254752e+16,9457.005449852662,1.0810171715579384,1.3010492263205113,4.338808364168894,2.452295349875675,2.60603087,2.826581196977303,2.9478970626200844,7.644598123294383,2.6134731145058114,2.644315158549816,2.829214738755722,2.9478788211976448,4.4360425578089675,2.5922113809677825,2.910195793921042,3.060947307550717,2.9724305122928554,3.27751947,2.4612183284661047,2.4587812660479984,16.296018419348176
2,DummyClassifier(),88.38854640748751,88.5632585447986,88.82062470111678,87.95237724747109,86.6685526511594,98.82250466758536,87.55373078916948,92.85637875700056,80860126792.59021,97.73296817718958,3.08401472615114e+18,91.85433834017455,88.21949997857294,7.215813355254752e+16,11278.432071849802,86.9398891076759,86.91698774302249,86.608855040538,89.63641487378115,88.38797489,87.94215788728458,91.11884461416788,90.5482749652326,87.36252582466933,87.50366178223577,90.38731302109055,91.11877525302177,87.77579279805164,87.5130146600124,85.48455104010895,87.90285102892166,87.53148723207579,90.79596221,89.70560371317968,89.71893327102295,129.38495439818024
3,ExtraTreeClassifier(),13.540643296345156,13.815417481272382,13.79075430492829,13.588949897280015,13.69910580450215,95.89893607650608,16.31809069993441,18.462023855562745,15.388664153033334,23.78193980442314,4.3505291971372954e+18,21.009902173999645,14.951229533095379,7.215813355254752e+16,7398.223584091058,13.47269784614669,13.585673125745346,17.178836054283426,15.338335998725809,14.85890653,15.35180372163705,16.042607664460824,16.214915382244985,14.738621244259525,14.807178355235356,15.908591821341902,16.042595867605886,16.96366270695162,14.828437737871047,15.976635229398259,15.159666791431619,14.859543184172258,15.48897282,15.38457916809099,15.342286558388315,19.792278368408546
4,ExtraTreesClassifier(),1.4661573676868551,1.4466180912302986,1.654056506079815,1.4319397323168568,1.7080643125708312,95.55105979865073,4.699841486858098,6.656578308341286,2.814921127871553,15.292960705055071,4.620682609721975e+18,12.630817332384856,3.0421318309679535,7.215813355254752e+16,4367.434525586285,1.422913925512929,1.4748566868638282,4.967392706436422,2.7853286524760517,2.86706005,3.15329907769535,3.285690055189356,6.837374617299797,2.95688434066444,3.013944642027585,3.1615255963589943,3.285672583354552,5.266246444747182,2.9556317779117083,3.546149796597297,3.4052790330228775,3.299577239167419,3.4195854,2.8037275547786225,2.795893340952257,11.657721879539785
5,GaussianNB(),39.39717495583836,39.86378347522942,38.784163707852784,39.700007367414635,39.99236150160938,98.05945612491742,40.089130982982944,39.47980676327825,40.80468055634462,42.089131270787504,4.2310963990921733e+18,40.36358210488322,39.33021769208931,7.215813355254752e+16,12621.563662336783,39.82764950642233,40.32414125477415,40.73570561376545,40.5492493815685,41.45645687,39.965253237869206,40.35806468487217,40.22513178716916,40.34319546563603,40.39103470362127,40.18298682032674,40.35803495823923,40.008718083448706,40.07717252924173,41.15461531288288,41.69908587930266,41.590675619845655,43.27673866,40.764763397944584,40.76858753212763,40.7457751489304
6,GradientBoostingClassifier(),1.9910452797726168,2.038281545509044,2.0083588502166454,2.0514824279115285,2.322538305039819,95.56481851167756,4.449440988237462,7.2872646084118475,3.362553101047269,14.901058955540833,3.651213828006904e+18,8.234018445554025,3.117542150951047,7.215813355254752e+16,18095.99734581458,2.0183482909178156,2.251167547680938,5.0754456260010175,3.3363658234979803,3.45082158,3.6914600698206224,3.829083357916791,8.577560141512208,3.5045163138401536,3.558130771428882,3.6993454994633175,3.8290643362848216,4.995975814931629,3.5065094962608394,3.70360478196682,3.981836857076339,3.8840371248603045,4.14850481,3.3517849940049347,3.347326533633844,13.224999965956943
7,HistGradientBoostingClassifier(),2.277988386399804,2.285455745120417,2.2836788963646284,2.3109671245189665,2.5848214931789557,95.56966994886587,4.7272349815259505,9.711999646316613,3.6349678208191274,19.946751040472034,3.6597146078141696e+18,8.984290810321017,3.343858502541699,7.215813355254752e+16,5788.427934956418,2.2890463566984045,2.438856865532366,5.412270713467914,3.6064019270807837,3.71773025,3.9421660413389796,4.081248715785221,10.91878890022525,3.7769310336120117,3.827417395328642,3.9490567607245737,4.081229699965203,5.25422698493669,3.772106344256353,3.964046268478842,4.281525716746191,4.151899964477459,4.38170067,3.6238260784867053,3.619630144138023,14.07985742386514
8,KNeighborsClassifier(),8.155894782485161,8.155908328653902,8.281665093723284,8.369353902134986,8.423802582832455,93.09211656181641,10.350302094909887,14.854474893138823,9.84554752899887,20.537893952858,4.615263627597903e+18,15.204766881933098,8.829891436393945,7.215813355254752e+16,10667.131103011568,8.229223292401008,8.369391303275895,10.642950975769763,9.581956905525756,10.33547534,9.271295106809962,9.446756972798555,14.220892398585393,10.001874674862878,9.93412477031953,9.362556806050303,9.446742339457348,10.729867449055885,9.759827476404116,9.296431551522524,10.121120281309206,10.148170860062427,10.77670216,9.808341021186596,9.739007952746338,18.974665085463364
9,LinearDiscriminantAnalysis(),23.26608704218669,23.682530370306985,22.989592516462718,23.64739120817078,23.6961507062465,94.9082961604553,24.92857927653776,25.35704263633991,24.032001377094836,33.38731827664373,4.478718864573979e+18,29.675241229514544,24.01243533141583,7.215813355254752e+16,10562.107882933233,23.478045421317237,23.72042423108686,25.602808038810593,24.068989767275266,24.85703171,24.47610888139542,24.602305411967,25.125893383469872,24.016629395127598,24.134070903042844,24.481048367209635,24.60225948525369,25.167593462779127,24.18344516116677,24.706487329337737,25.254913885221423,24.957597244404116,25.92549033,24.04047740814425,24.012911188996103,28.885088504337332
10,LogisticRegression(),12.318901148505622,12.68568553599642,12.359584510217822,12.37074321161998,12.44160330524938,94.36925809170893,14.735776898806497,17.725225110583366,24747786268.496384,19.75134057038137,5.838239138912451e+18,19.96295309460865,13.334134728847054,7.215813355254752e+16,7363.290955409306,12.17124866123472,12.208178843643628,15.318007070637767,14.049592532987871,14.32903098,13.770627883161206,14.162268527139647,14.973479128333047,13.958647427039985,13.932463933597367,14.057121229454241,14.16224979535609,15.15385115530395,13.757214581472633,13.797782839126567,14.202418005421823,14.108360282391091,14.86944074,14.273426786023757,14.195356038315769,25.01274749674135
11,LogisticRegressionCV(),12.750772107483613,12.959904846405548,12.741634502659064,12.838516772103254,12.918381964201032,93.80959276240254,15.01701690150136,17.951369660026682,24797811205.803307,26.837164785133705,5.927954484670922e+18,20.188051216344174,13.730014386321944,7.215813355254752e+16,3251.9012081330484,12.591568739120452,14.746562593918826,15.769026124771395,14.23893297736793,14.44968652,14.20561739339443,14.581808147782302,15.490132014390655,14.055849930666671,14.029402591232026,14.495398536197747,14.581789799369258,15.576168170674215,13.93837727483607,14.0030548293977,14.432572513821956,14.195324473697003,14.90958115,14.389598544449997,14.321944208549473,21.484906834671886
12,MultinomialNB(),17.160646702191382,18.759426824659382,18.11887908808804,18.377630545356066,15.995119774635272,95.64699139406778,19.09419635503934,18.358386393089976,24725865823.197052,23.526001141617723,7.39653446901858e+18,19.07489532000112,18.235409722647038,7.215813355254752e+16,14050.723094100875,20.799002976762207,16.19510838376999,23.267958444949965,23.27162416600888,21.84566662,20.541023188206793,23.859545922587394,16.53335117776469,18.484752104511312,18.350021303503453,23.817453480964982,23.85954094596436,18.972994915938106,18.173086515617715,22.5294353676542,18.55324639523055,18.499502300048757,22.55064023,23.572067491165487,23.494694653850555,25.159717568772564
13,NearestCentroid(),40.085525787201284,40.37512195745458,40.37717202731547,40.28947694075366,40.214280426235675,95.46492494179337,43.137598335217476,44.514134657391295,12478804479.49006,47.396336120340194,3.5908666580781804e+18,55.83376925814951,41.23962553506522,7.215813355254752e+16,12363.573599495237,39.860057941787446,40.14966170047644,42.83031844624336,42.21466791883913,43.43743823,41.26436852196824,41.47627255669497,37.03292596568564,42.06942591154199,41.93608750350088,41.6735571609841,41.47624631803605,43.08148970698764,41.81230373595327,41.460145078826315,42.07658520771366,42.044999751964276,42.77654396,42.71010675514899,42.49014402650141,48.33225006043349
14,RandomForestClassifier(),1.6910464426896152,1.6725385037992295,1.630129536137123,1.7157009008232593,1.9481524239192776,95.26074666836945,4.342785408981138,8.678696822555375,3.1084589899567745,13.25877470273046,7.61471903026548e+18,11.243531374116152,2.9061161008147818,7.215813355254752e+16,15924.820928078905,1.6674440228910876,2.1024060457285403,4.819291112313123,3.053069928738419,3.27082355,3.324882046495242,3.4686966376927253,9.399759061048028,3.250434610711387,3.2748517749225985,3.328076981344563,3.4686793498409965,4.851312681252629,3.2097272216273445,3.459359103251698,3.63384635580051,3.568253740286871,3.9780885,3.09359197302603,3.0845583002786414,27.883522429383937
15,RidgeClassifier(),26.834474290552837,27.153497714878792,26.5844545687702,26.943851878147672,26.99293156265979,95.71507071730707,28.668683135800812,29.849195699491464,27.522261341783977,32.67447802666729,3.450137621099836e+18,35.301971992953796,27.58205512200911,7.215813355254752e+16,9557.603858201404,26.830930204203113,27.090579439848877,29.127962785200452,27.5097586824059,27.79342031,27.78315859865164,27.903468068179443,28.38385416656772,27.11058389809727,27.123155144836463,27.919418686790927,27.903462694592527,29.093964153938295,27.185785918630913,27.655553400203786,28.060237843036273,27.631460253272095,28.18747715,27.52330315476573,27.49993733514186,36.77749042645485
16,RidgeClassifierCV(alphas=array([ 0.1,26.707445186449952,27.226344203292594,26.961417591827765,26.94251293693052,26.998309050767816,95.71507071730707,28.668683135800812,29.849195699491464,27.522261341783977,34.93597016925658,2.0098662371944049e+18,35.253586661247475,27.58205512200911,7.215813355254752e+16,8284.12012953165,26.818505373204147,28.317861434749773,29.127962785200452,27.5097586824059,27.79342031,27.78315859865164,27.903468068179443,28.38385416656772,27.11058389809727,27.123155144836463,27.919418686790927,27.903462694592527,29.093964153938295,27.185785918630913,27.655553400203786,28.060237843036273,27.631460253272095,28.18747715,27.52330315476573,27.49993733514186,36.34702266081186
